Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Duration,Date Declared Over,Active
Institution 31,499 Main St,Hospital,Respiratory,COVID-19,None,2023-01-25,15,2023-02-09,N
Institution 79,599 Main St,Long-Term Care Home,Enteric,COVID-19,Rhinovirus,2023-07-05,10,2023-07-15,N
Institution 51,72 King St,Retirement Home,Respiratory,COVID-19,None,2023-01-01,21,2023-01-22,N
Institution 14,315 Main St,Hospital,Respiratory,COVID-19,None,2023-02-23,16,2023-03-11,N
Institution 67,714 King St,Retirement Home,Respiratory,COVID-19,None,2023-07-24,27,2023-08-20,N
Institution 42,677 King St,Hospital,Respiratory,RSV,None,2024-07-05,5,2024-07-10,N
Institution 50,81 Bay St,Retirement Home,Respiratory,RSV,None,2023-11-24,7,2023-12-01,N
Institution 43,55 Bay St,Hospital,Respiratory,Influenza,None,2024-02-27,10,2024-03-08,N
Institution 14,134 Bay St,Retirement Home,Respiratory,COVID-19,Rhinovirus,2023-12-01,28,2023-12-29,N
Institution 25,424 Bay St,Long-Term Care Home,Enteric,Influenza,None,2023-03-31,6,2023-04-06,N
Institution 90,756 Bay St,Long-Term Care Home,Enteric,Influenza,None,2024-08-14,12,2024-08-26,N
Institution 91,6 Queen St,Long-Term Care Home,Respiratory,Norovirus,None,2024-06-19,6,2024-06-25,Y
Institution 69,128 Bay St,Hospital,Enteric,COVID-19,Adenovirus,2024-09-15,18,2024-10-03,N
Institution 91,879 Queen St,Long-Term Care Home,Enteric,Norovirus,None,2023-06-21,24,2023-07-15,N
Institution 57,668 Main St,Long-Term Care Home,Respiratory,Norovirus,None,2023-12-02,21,2023-12-23,N
Institution 92,800 King St,Long-Term Care Home,Respiratory,COVID-19,None,2023-07-16,10,2023-07-26,Y
Institution 9,49 King St,Hospital,Respiratory,Influenza,None,2023-05-12,8,2023-05-20,N
Institution 93,739 Main St,Long-Term Care Home,Respiratory,RSV,None,2024-10-27,28,2024-11-24,N
Institution 99,476 Bay St,Retirement Home,Enteric,Norovirus,None,2024-08-12,11,2024-08-23,N
Institution 72,239 Queen St,Long-Term Care Home,Respiratory,Influenza,None,2024-04-14,30,2024-05-14,N
Institution 26,340 Queen St,Hospital,Respiratory,COVID-19,None,2024-10-31,30,2024-11-30,N
Institution 7,193 Bay St,Retirement Home,Enteric,Norovirus,None,2023-02-25,22,2023-03-19,N
Institution 42,709 King St,Long-Term Care Home,Respiratory,Influenza,None,2024-08-29,25,2024-09-23,Y
Institution 9,459 Main St,Long-Term Care Home,Enteric,COVID-19,Adenovirus,2023-06-29,22,2023-07-21,N
Institution 83,303 Bay St,Hospital,Enteric,Norovirus,None,2023-03-24,24,2023-04-17,N
Institution 36,148 Queen St,Hospital,Respiratory,COVID-19,None,2023-04-06,20,2023-04-26,N
Institution 78,898 King St,Hospital,Enteric,Influenza,None,2023-05-13,28,2023-06-10,N
Institution 81,190 Main St,Retirement Home,Respiratory,Influenza,None,2024-10-02,5,2024-10-07,N
Institution 43,624 Queen St,Long-Term Care Home,Enteric,RSV,None,2023-03-17,10,2023-03-27,N
Institution 76,191 Bay St,Hospital,Enteric,RSV,None,2024-10-19,12,2024-10-31,Y
Institution 15,446 King St,Long-Term Care Home,Respiratory,RSV,None,2024-10-07,7,2024-10-14,N
Institution 32,119 Bay St,Hospital,Respiratory,RSV,None,2024-01-13,10,2024-01-23,N
Institution 7,627 King St,Hospital,Respiratory,COVID-19,None,2023-12-16,26,2024-01-11,Y
Institution 9,522 Bay St,Long-Term Care Home,Respiratory,RSV,None,2024-06-24,20,2024-07-14,N
Institution 41,627 Bay St,Hospital,Respiratory,RSV,Adenovirus,2024-06-01,6,2024-06-07,N
Institution 74,59 Bay St,Long-Term Care Home,Enteric,Norovirus,None,2023-08-20,18,2023-09-07,N
Institution 23,817 King St,Hospital,Respiratory,COVID-19,None,2024-02-09,10,2024-02-19,N
Institution 27,903 King St,Hospital,Respiratory,Norovirus,Rhinovirus,2023-10-08,27,2023-11-04,N
Institution 60,61 King St,Hospital,Enteric,Influenza,None,2023-04-15,25,2023-05-10,N
Institution 53,422 Main St,Hospital,Respiratory,Norovirus,None,2024-04-24,5,2024-04-29,N
Institution 7,108 Main St,Long-Term Care Home,Enteric,Norovirus,Adenovirus,2024-01-05,26,2024-01-31,Y
Institution 53,292 Queen St,Long-Term Care Home,Enteric,Norovirus,None,2023-09-28,8,2023-10-06,N
Institution 27,373 Main St,Hospital,Enteric,COVID-19,Adenovirus,2023-03-13,15,2023-03-28,N
Institution 96,535 Main St,Retirement Home,Respiratory,RSV,None,2023-02-19,19,2023-03-10,N
Institution 38,115 Queen St,Long-Term Care Home,Respiratory,COVID-19,None,2024-06-03,6,2024-06-09,N
Institution 89,930 Main St,Long-Term Care Home,Enteric,RSV,None,2024-01-07,24,2024-01-31,N
Institution 34,600 Bay St,Long-Term Care Home,Respiratory,COVID-19,None,2024-04-12,24,2024-05-06,N
Institution 93,644 Bay St,Hospital,Enteric,RSV,None,2023-02-05,5,2023-02-10,N
Institution 69,950 King St,Hospital,Enteric,COVID-19,None,2023-06-18,14,2023-07-02,N
Institution 72,413 Queen St,Hospital,Respiratory,Influenza,None,2023-03-16,16,2023-04-01,Y
Institution 76,698 Queen St,Retirement Home,Enteric,Influenza,None,2023-11-08,10,2023-11-18,N
Institution 63,983 King St,Hospital,Enteric,COVID-19,None,2024-11-01,29,2024-11-30,N
Institution 13,763 King St,Long-Term Care Home,Respiratory,RSV,None,2023-03-21,18,2023-04-08,N
Institution 82,203 Main St,Long-Term Care Home,Enteric,COVID-19,None,2023-08-16,5,2023-08-21,Y
Institution 97,758 Bay St,Retirement Home,Enteric,RSV,Rhinovirus,2023-05-19,22,2023-06-10,Y
Institution 91,993 Queen St,Retirement Home,Enteric,Influenza,Rhinovirus,2023-04-28,11,2023-05-09,N
Institution 25,246 Queen St,Retirement Home,Enteric,COVID-19,None,2023-02-11,15,2023-02-26,N
Institution 38,440 Main St,Retirement Home,Enteric,Norovirus,None,2024-09-30,26,2024-10-26,N
Institution 21,947 Bay St,Hospital,Respiratory,Influenza,None,2024-04-23,11,2024-05-04,Y
Institution 79,690 Queen St,Hospital,Respiratory,COVID-19,None,2023-06-29,18,2023-07-17,N
Institution 41,251 Main St,Long-Term Care Home,Respiratory,COVID-19,None,2024-10-01,22,2024-10-23,N
Institution 47,560 Main St,Hospital,Enteric,Influenza,None,2024-03-10,9,2024-03-19,N
Institution 90,643 Bay St,Long-Term Care Home,Enteric,COVID-19,None,2023-09-17,26,2023-10-13,Y
Institution 60,545 King St,Hospital,Enteric,Norovirus,None,2023-06-22,30,2023-07-22,N
Institution 95,990 Main St,Retirement Home,Respiratory,Norovirus,None,2023-09-08,18,2023-09-26,N
Institution 16,162 Main St,Retirement Home,Respiratory,RSV,None,2023-06-27,16,2023-07-13,N
Institution 94,322 Main St,Hospital,Respiratory,RSV,None,2024-06-27,12,2024-07-09,N
Institution 6,576 Bay St,Long-Term Care Home,Respiratory,COVID-19,None,2024-05-06,11,2024-05-17,N
Institution 72,168 Main St,Hospital,Enteric,Norovirus,None,2023-01-17,26,2023-02-12,N
Institution 86,442 Main St,Retirement Home,Respiratory,RSV,None,2023-07-21,8,2023-07-29,Y
Institution 86,788 Main St,Hospital,Respiratory,RSV,None,2024-05-21,5,2024-05-26,N
Institution 39,78 Queen St,Long-Term Care Home,Respiratory,COVID-19,None,2024-08-18,6,2024-08-24,N
Institution 31,665 Queen St,Long-Term Care Home,Enteric,Norovirus,None,2023-10-14,5,2023-10-19,Y
Institution 81,493 Bay St,Long-Term Care Home,Respiratory,Norovirus,Rhinovirus,2024-09-03,9,2024-09-12,Y
Institution 50,199 Main St,Retirement Home,Respiratory,Influenza,None,2024-09-13,15,2024-09-28,N
Institution 34,424 Bay St,Long-Term Care Home,Respiratory,Influenza,Adenovirus,2023-03-11,12,2023-03-23,N
Institution 4,445 Main St,Retirement Home,Respiratory,Influenza,None,2023-02-03,13,2023-02-16,N
Institution 13,995 Queen St,Hospital,Respiratory,RSV,Rhinovirus,2023-12-06,20,2023-12-26,N
Institution 69,95 Bay St,Hospital,Enteric,RSV,None,2024-05-26,17,2024-06-12,N
Institution 25,918 Bay St,Retirement Home,Respiratory,Norovirus,Adenovirus,2024-10-23,21,2024-11-13,N
Institution 52,464 Bay St,Long-Term Care Home,Respiratory,Norovirus,None,2024-01-30,18,2024-02-17,Y
Institution 22,379 King St,Retirement Home,Respiratory,Norovirus,Adenovirus,2024-01-21,15,2024-02-05,N
Institution 89,342 King St,Long-Term Care Home,Enteric,COVID-19,None,2023-12-23,21,2024-01-13,N
Institution 32,221 Bay St,Hospital,Enteric,Norovirus,Adenovirus,2024-02-17,30,2024-03-18,N
Institution 25,696 Bay St,Long-Term Care Home,Respiratory,Influenza,None,2024-10-04,14,2024-10-18,Y
Institution 87,161 Queen St,Long-Term Care Home,Enteric,COVID-19,None,2023-05-01,22,2023-05-23,Y
Institution 35,620 Queen St,Hospital,Respiratory,RSV,None,2024-01-23,18,2024-02-10,N
Institution 40,448 King St,Long-Term Care Home,Respiratory,Norovirus,None,2023-03-03,16,2023-03-19,Y
Institution 30,242 Bay St,Hospital,Respiratory,RSV,None,2024-01-14,13,2024-01-27,N
Institution 12,693 Queen St,Hospital,Enteric,RSV,None,2023-04-21,8,2023-04-29,N
Institution 31,927 Bay St,Long-Term Care Home,Respiratory,COVID-19,None,2023-11-21,29,2023-12-20,N
Institution 30,814 Bay St,Retirement Home,Enteric,RSV,None,2023-01-18,21,2023-02-08,N
Institution 64,968 Queen St,Hospital,Enteric,Norovirus,None,2023-05-22,15,2023-06-06,N
Institution 99,536 Main St,Long-Term Care Home,Respiratory,Norovirus,None,2024-04-23,8,2024-05-01,N
Institution 14,828 King St,Retirement Home,Enteric,COVID-19,None,2023-07-08,13,2023-07-21,Y
Institution 93,926 Bay St,Retirement Home,Respiratory,COVID-19,Adenovirus,2023-06-12,22,2023-07-04,N
Institution 96,407 King St,Hospital,Respiratory,RSV,None,2023-06-20,21,2023-07-11,N
Institution 71,229 King St,Long-Term Care Home,Enteric,COVID-19,Adenovirus,2024-09-17,16,2024-10-03,N
Institution 67,224 King St,Retirement Home,Respiratory,RSV,None,2024-09-29,13,2024-10-12,N
Institution 23,785 Bay St,Retirement Home,Respiratory,COVID-19,None,2024-07-03,20,2024-07-23,N
Institution 79,474 Main St,Retirement Home,Enteric,Norovirus,None,2023-07-12,17,2023-07-29,N
Institution 85,699 Main St,Long-Term Care Home,Respiratory,RSV,None,2023-01-26,11,2023-02-06,N
Institution 37,441 King St,Retirement Home,Enteric,Influenza,None,2023-09-09,26,2023-10-05,N
Institution 8,171 King St,Hospital,Respiratory,COVID-19,Rhinovirus,2023-12-04,7,2023-12-11,N
Institution 51,23 Bay St,Long-Term Care Home,Enteric,Influenza,Rhinovirus,2023-06-20,27,2023-07-17,N
Institution 74,218 Main St,Long-Term Care Home,Enteric,COVID-19,None,2023-04-17,16,2023-05-03,N
Institution 50,484 Bay St,Long-Term Care Home,Enteric,Norovirus,Adenovirus,2024-04-14,28,2024-05-12,N
Institution 98,301 Queen St,Retirement Home,Respiratory,COVID-19,Rhinovirus,2023-10-29,24,2023-11-22,N
Institution 74,648 Main St,Hospital,Enteric,RSV,None,2024-02-18,20,2024-03-09,N
Institution 86,79 Queen St,Retirement Home,Respiratory,COVID-19,None,2024-08-04,5,2024-08-09,N
Institution 76,511 Queen St,Long-Term Care Home,Respiratory,RSV,None,2023-01-12,15,2023-01-27,N
Institution 84,507 King St,Retirement Home,Enteric,Influenza,None,2024-01-03,5,2024-01-08,N
Institution 46,164 Queen St,Retirement Home,Enteric,RSV,None,2023-06-30,29,2023-07-29,N
Institution 17,237 Queen St,Hospital,Respiratory,RSV,None,2023-01-29,24,2023-02-22,N
Institution 62,579 Bay St,Hospital,Enteric,Influenza,None,2023-09-02,9,2023-09-11,N
Institution 46,807 Queen St,Retirement Home,Respiratory,RSV,Rhinovirus,2024-07-07,20,2024-07-27,N
Institution 54,929 Main St,Hospital,Respiratory,COVID-19,None,2024-04-02,7,2024-04-09,N
Institution 35,422 Queen St,Retirement Home,Enteric,Norovirus,None,2024-07-17,19,2024-08-05,N
Institution 94,493 Main St,Hospital,Respiratory,RSV,Adenovirus,2023-11-23,29,2023-12-22,N
Institution 79,730 Queen St,Hospital,Respiratory,Norovirus,Adenovirus,2024-09-06,12,2024-09-18,Y
Institution 24,796 Main St,Retirement Home,Enteric,Norovirus,None,2024-09-15,21,2024-10-06,N
