Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Date_Outbreak_Began,Date_Declared_Over,Duration
Centre for Addiction and Mental Health - Unit GAU A,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,None,2024-11-12,2024-11-16,N,2024-11-12,2024-11-16,4
The Briton House (North Building) - 7th Fl,720 Mount Pleasant Rd,Retirement Home,Respiratory,COVID-19,None,2024-11-08,2024-11-17,N,2024-11-08,2024-11-17,9
UHN - Princess Margaret Hospital - 14B,610 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza PIV III,None,2024-11-08,2024-11-15,N,2024-11-08,2024-11-15,7
The Wexford Residence - 4th Fl,1860 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2024-11-07,2024-11-18,N,2024-11-07,2024-11-18,11
UHN - Toronto Rehabilitation Institute - 7 South,550 University Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-11-06,2024-11-14,N,2024-11-06,2024-11-14,8
Delmanor West Village,15 Summerland Terr,Retirement Home,Respiratory,Coronavirus*,None,2024-11-04,2024-11-18,N,2024-11-04,2024-11-18,14
Terraces Of Baycrest Retirement Residence - 2nd Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,None,2024-11-04,2024-11-10,N,2024-11-04,2024-11-10,6
Yee Hong Centre - Scarborough Finch - 5th Fl,60 Scottfield Dr,LTCH,Respiratory,COVID-19,None,2024-11-04,2024-11-14,N,2024-11-04,2024-11-14,10
Isabel and Arthur Meighen Manor - 2nd Fl,155 Millwood Rd,LTCH,Respiratory,COVID-19,None,2024-11-02,2024-11-14,N,2024-11-02,2024-11-14,12
UHN - Toronto Western Hospital - 8B Medicine,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-11-02,2024-11-13,N,2024-11-02,2024-11-13,11
Bendale Acres - 4th Fl,2920 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2024-11-01,2024-11-19,N,2024-11-01,2024-11-19,18
Unity Health Toronto - Providence Healthcare - B4,3275 St Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-11-01,2024-11-15,N,2024-11-01,2024-11-15,14
Villa Colombo Homes for the Aged - 2 Fidani,40 Playfair Ave,LTCH,Respiratory,Unable to identify,None,2024-10-30,2024-11-12,N,2024-10-30,2024-11-12,13
Villa Colombo Homes for the Aged - 3 Fusco North,40 Playfair Ave,LTCH,Respiratory,Parainfluenza,None,2024-10-30,2024-11-13,N,2024-10-30,2024-11-13,14
Mackenzie Health - RCC - Finch Site - 4 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-10-29,2024-11-06,N,2024-10-29,2024-11-06,8
"Rekai Centre - Wellesley Central Place - 3 East, 4 East & 2 West",160 Wellesley St E,LTCH,Respiratory,Coronavirus*,None,2024-10-29,2024-11-18,N,2024-10-29,2024-11-18,20
Rockcliffe Care Community - Ground Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2024-10-29,2024-11-13,N,2024-10-29,2024-11-13,15
St Clair O'Connor Nursing Home - 3rd Fl,2701 St Claire Ave E,LTCH,Respiratory,COVID-19,None,2024-10-29,2024-11-13,N,2024-10-29,2024-11-13,15
Weston Terrace Community - 3A,2005 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,None,2024-10-29,2024-11-12,N,2024-10-29,2024-11-12,14
Fairview Nursing Home - 1st & 2nd Fl,14 Cross St,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-10-28,2024-11-14,N,2024-10-28,2024-11-14,17
Glen Rouge Community,92 Island Rd,LTCH,Enteric,Unable to identify,None,2024-10-28,2024-11-10,N,2024-10-28,2024-11-10,13
Hawthorne Place - 2nd Fl,2045 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-10-28,2024-11-08,N,2024-10-28,2024-11-08,11
Holland Bloorview Kids Rehabilitation Hospital - 3 West SODR (North),150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Rhinovirus,None,2024-10-28,2024-11-02,N,2024-10-28,2024-11-02,5
Main Street Terrace - 2nd Fl,77 Main St,LTCH,Respiratory,COVID-19,None,2024-10-28,2024-11-04,N,2024-10-28,2024-11-04,7
Sts. Peter And Paul Residence - 1st & 3rd Fl,221 Milner Ave,Retirement Home,Respiratory,Enterovirus/ Rhinovirus,None,2024-10-28,2024-11-02,N,2024-10-28,2024-11-02,5
Chartwell Scarlett Heights Retirement Residence - 2nd Fl Memory Living Unit,4005 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,None,2024-10-25,2024-11-05,N,2024-10-25,2024-11-05,11
Fudger House - 2 East,439 Sherbourne St,LTCH,Respiratory,Parainfluenza,None,2024-10-25,2024-11-01,N,2024-10-25,2024-11-01,7
Wesburn Manor - 2 South,400 The West Mall,LTCH,Respiratory,Unable to identify,None,2024-10-25,2024-11-09,N,2024-10-25,2024-11-09,15
Baycrest Hospital - H4E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-10-24,2024-11-05,N,2024-10-24,2024-11-05,12
Cedarbrook Transitional Care Unit - 5th & 6th Fl,520 Markham Rd,Transitional Care,Respiratory,COVID-19,None,2024-10-24,2024-11-08,N,2024-10-24,2024-11-08,15
Reactivation Care Centre - Church Site - Trillium Health Partners - 6B,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-10-24,2024-11-07,N,2024-10-24,2024-11-07,14
Rekai Centres - Wellesley Central Place - 4E & 4W,160 Wellesley St E,LTCH,Respiratory,COVID-19,None,2024-10-24,2024-11-12,N,2024-10-24,2024-11-12,19
The Claremont - 7th Fl,305 Billiol St,Retirement Home,Respiratory,Parainfluenza,None,2024-10-24,2024-11-02,N,2024-10-24,2024-11-02,9
The Village of Humber Heights - 2nd Fl (Emma),2245 Lawrence Ave W,Retirement Home,Respiratory,Rhinovirus,None,2024-10-24,2024-11-05,N,2024-10-24,2024-11-05,12
